Condition	Day	Stimulus	Score	Reqresponse	Actresponse	RT	isPMcue
s	1	obscenity	0	s	d	1082	
s	1	valuing	1	s	s	1239	
s	1	certified	1	s	s	778	
s	1	joking	1	s	s	767	
s	1	deficient	1	s	s	1090	
s	1	ceremonial	1	s	s	1524	
s	1	coinciding	1	s	s	2943	
s	1	iridium	1	s	s	1876	
s	1	scoft	0	d	s	803	
s	1	squalor	0	s	d	2361	
s	1	chewise	1	d	d	1542	
s	1	redusition	1	d	d	6244	
s	1	didurator	1	d	j	1262	j
s	1	rescail	0	d	s	2372	
s	1	morilation	1	d	d	3812	
s	1	progiciate	0	d	s	2713	
s	1	ruthless	1	s	s	1276	
s	1	strenuous	1	s	s	1828	
s	1	confidant	1	s	s	668	
s	1	chambseur	1	d	d	3180	
s	1	instructor	1	s	j	1249	j
s	1	flask	1	s	s	948	
s	1	singular	1	s	s	1420	
s	1	filiphous	0	d	s	3169	
s	1	lettuce	1	s	s	1423	
s	1	innate	1	s	s	996	
s	1	betray	1	s	s	2212	
s	1	applicant	1	s	s	1274	
s	1	taning	0	d	s	962	
s	1	mirage	1	s	s	3462	
s	1	conundrum	0	s	d	1555	
s	1	composure	1	s	s	1422	
s	1	mumitism	1	d	d	1267	
s	1	appease	1	s	s	715	
s	1	ridicule	0	s	d	3059	
s	1	virstance	0	d	s	1372	
s	1	refind	0	d	s	1156	
s	1	reltirate	0	d	s	1022	
s	1	prosecute	1	s	s	5839	
s	1	parodied	1	s	s	1801	
s	1	furtament	0	d	s	2988	
s	1	fulfilment	1	s	s	9959	
s	1	resuppant	0	d	s	1898	
s	1	hethliness	1	d	d	7353	
s	1	inflating	1	s	s	1729	
s	1	propel	1	s	s	803	
s	1	nuodance	1	d	d	2462	
s	1	defamatory	1	s	s	1987	j
s	1	roncachio	1	d	d	2395	
s	1	cyclical	1	s	s	963	
s	1	secentic	1	d	d	2318	
s	1	tantamount	0	s	d	2489	
s	1	tendon	1	s	s	782	
s	1	pragmatist	1	s	s	1956	
s	1	intricate	1	s	s	1524	
s	1	purch	0	d	s	1310	
s	1	saffike	1	d	d	1033	
s	1	tornado	1	s	j	1361	j
s	1	replies	1	s	s	2028	
s	1	vexour	1	d	d	1468	
s	1	obnoxious	1	s	s	1436	
s	1	dencident	1	d	d	2868	
s	1	benraric	1	d	d	2300	
s	1	usicyll	1	d	d	1505	
s	1	sorrow	1	s	s	841	
s	1	reign	1	s	s	2684	
s	1	posiration	1	d	d	2063	
s	1	immarrable	0	d	s	1780	
s	1	saxophone	0	s	d	4460	
s	1	compulsive	1	s	s	908	
s	1	oslille	0	d	s	2652	
s	1	drawl	1	s	s	1188	
s	1	minusnock	1	d	d	2140	
s	1	impibator	1	d	d	1682	j
s	1	sporadic	0	s	d	2700	
s	1	attire	1	s	s	1723	
s	1	ancopance	1	d	d	3951	
s	1	achievable	1	s	s	1422	
s	1	irritation	1	s	s	3251	
s	1	roniny	1	d	d	2601	
s	1	hamstrung	0	s	d	4427	
s	1	mitorel	1	d	j	1926	j
s	1	atflirant	1	d	d	2593	
s	1	gazauss	1	d	d	1041	
s	1	biminity	1	d	d	1356	
s	1	britille	0	d	s	1252	
s	1	liting	0	d	s	2324	
s	1	amicable	0	s	d	2105	
s	1	rirlon	1	d	d	1124	
s	1	provenance	1	s	s	1407	
s	1	derivative	1	s	s	1297	
s	1	fervent	0	s	d	2751	
s	1	pinsulir	1	d	d	2489	
s	1	speek	1	d	d	1412	
s	1	emposties	0	d	s	5113	
s	1	indignant	0	s	d	4396	
s	1	bercolies	1	d	d	2351	
s	1	starl	1	d	d	4143	
s	1	replicate	1	s	s	1668	
s	1	denluting	1	d	d	2268	
s	1	obstinate	1	s	s	4939	
s	1	cotoque	1	d	d	2257	
s	1	toredy	1	d	d	958	j
s	1	privy	0	s	d	2409	
s	1	ertilous	1	d	d	1838	
s	1	lertle	1	d	d	1641	
s	1	canlilare	1	d	d	2347	
s	1	clonantine	1	d	d	2155	
s	1	classora	1	d	d	1972	
s	1	echlinest	0	d	s	2089	
s	1	uttracine	1	d	d	1498	
s	1	cataract	1	s	s	1183	
s	1	stalk	1	s	s	1540	
s	1	browsing	1	s	s	834	
s	1	prescient	1	s	s	1746	
s	1	consequent	1	s	s	682	
s	1	expanse	0	s	d	2892	
s	1	hierarchy	1	s	s	1683	
s	1	bispout	1	d	d	1278	
s	1	halstrang	1	d	d	1481	
s	1	potication	0	d	s	3707	
s	1	tendencies	1	s	s	1702	
s	1	ubstoring	1	d	j	2068	j
